"","country","gratitude_effect_size","pa_effect_size","na_effect_size","optimistic_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","guilty_effect_size","ss_effect_size","gratitude_var","pa_var","na_var","optimistic_var","ls_var","ladder_var","envy_var","indebted_var","guilty_var","ss_var"
"15","Sweden",0.453190218547651,0.373045084853971,-0.172510765873532,0.341634868549339,0.212354825521415,0.142271884956555,-0.135295196691541,0.131393176577677,-0.0235819468474341,0.29283607585729,0.0163726332670532,0.016248628138114,0.0160437542223997,0.0162065902131608,0.0160724707159951,0.0160259289881428,0.0160223025855187,0.0160203538525662,0.0159890653532515,0.0161486100332259
"16","United Kingdom",0.602918576439418,0.372693911640387,-0.341505927863978,0.180906353583028,0.0991699304920497,0.0255831621646698,-0.270900584320257,0.492225511779566,0.0431490221290611,0.247052988434507,0.0178829985126468,0.017435568118141,0.0173911966978071,0.0172240668372503,0.0171784643797744,0.0171601771747396,0.0173050628886813,0.0176415147370112,0.0171625822343499,0.0172804574155924
"17","Colombia",0.349563783089607,0.370318650801739,-0.159830505760535,0.362645561179824,0.0721486917403224,0.221080593226891,0.0555630984459543,0.228729491335328,0.0170230726736579,0.198024967822567,0.0152627391699421,0.015288063008389,0.0150989272243891,0.0152785306353582,0.0150644520432843,0.0151384710178296,0.0150608619147912,0.0151443024610583,0.0150561204352901,0.0151220934910153
"18","Hungary",0.390111962421014,0.362031399634587,-0.272621534144969,0.126873099391933,0.137943236576055,0.135077734135367,-0.251406137570206,0.0274320562342854,-0.0305412458167125,0.0992709584888887,0.0173529289690448,0.0173106877512396,0.017197199284356,0.0170807478492955,0.017086610955631,0.0170850462711151,0.0171749643746128,0.0170500593180153,0.0170504198179889,0.0170682637289954
"19","Italy",0.67776511844356,0.362027036402466,-0.424122008901844,0.258455854504774,0.063519396675049,0.045562879577161,-0.312939745239578,0.229821705159672,-0.156659301578004,0.168328701093463,0.0185479533102742,0.0178913493488893,0.0179889811555865,0.0177628210561722,0.0176372916262245,0.0176333741507073,0.0178250847670178,0.0177348582310416,0.0176783064722584,0.0176858913019402
"20","United States",0.469945639978619,0.346637057225227,-0.224231850039963,0.252638871738867,0.127043750787763,0.136472473405997,-0.184427155463973,0.155740262387502,-0.0562507042945724,0.1768554414965,0.00294304706262881,0.00291052391821888,0.00288795372220162,0.0028923291992498,0.00287692665244771,0.00287772917873431,0.0028826996695854,0.00287954774893166,0.00287273544673692,0.0028818161009531
"21","Greece",0.884152262590313,0.310873075582559,-0.00376865538999866,0.366902779124819,0.211489872287748,0.199986309314199,0.00683055080691624,0.187139528602823,0.143759701086544,0.134746020438471,0.0200696315113627,0.0186994652027199,0.0185062094700024,0.0187754163631346,0.0185956369966361,0.0185861701123018,0.0185062743773242,0.0185762234708069,0.0185475147677885,0.0185424940445235
"22","India",0.347335551905362,0.289195943058185,-0.0481086040429961,-0.197461694277111,0.139368033993289,0.238915283529527,-0.112788313530441,0.155393551983204,-0.123354927122186,-0.235074385171177,0.0266783915007931,0.0265720475578733,0.0263383698116137,0.0264437625786362,0.0263875336366602,0.0264957435901224,0.0263682743112863,0.0264011075076338,0.0263754445250112,0.026490512135696
"23","Kazakhstan",0.310760513420982,0.24952852994568,0.0277942581152746,0.21876840043383,0.0316207155787843,0.0922644654572239,0.0230095299969009,0.0890649034879137,0.045882290884822,0.0463979154446178,0.0228556319604335,0.0227698629368215,0.0226161330206398,0.0227338507512503,0.0226167013928136,0.0226354835476446,0.022615525314856,0.0226340331112626,0.0226194646802214,0.0226195836350733
"24","Nigeria",0.202883402674928,0.224868129956022,-0.136595538239223,0.0328202989927553,0.0240144673386215,0.0176062508719509,-0.110885331645771,0.0892710671099753,0.0113356099333091,0.160829182679519,0.00639430074351375,0.00640064622312844,0.00637911630760681,0.00636725317060216,0.00636691546656409,0.0063667354972174,0.00637482293089111,0.00637190374509405,0.00636661303836639,0.00638397979271781
"25","France",0.741655442525788,0.220857897371448,-0.136066025720822,0.34937305141914,-0.016153022800806,-0.0337647319868516,-0.325462144075768,0.227376053373445,0.031438635924548,0.163042504162381,0.0180102787510294,0.0170077295818358,0.0169472010868841,0.017154296218289,0.0169106950004644,0.0169124532744254,0.0171220243746259,0.0170135728994685,0.0169121499358307,0.0169633388765002
"26","Brazil",0.178481912644599,0.219357056068005,-0.157582412616529,0.0673998499444343,0.0882378250967599,0.0525925725923017,0.000767904682847266,0.148973398900075,-0.0671756406868979,0.139109740880025,0.0074150979099756,0.00742869466993007,0.00740922535447792,0.00739226090883117,0.00739497259278206,0.00739077532264333,0.00738846312447086,0.00740701871301788,0.00739223568051107,0.00740464283210472
"27","Ghana",0.478730875350234,0.18223229026282,-0.0713678695708354,0.162193354420476,-0.0185244055900438,-0.0421754252813107,-0.0536146685506983,0.188212424398778,-0.229507601038235,0.0470164292742573,0.0176567674488594,0.0172911431141595,0.0172386893178771,0.0172782663914053,0.0172298269686148,0.0172325053508819,0.0172345496907815,0.0172952761534946,0.0173274586576668,0.0172333109070835
"28","Denmark",0.214951167588524,0.15743880903011,-0.130459304212596,0.163815220741063,0.0599928632504853,0.159336061955826,-0.131208319350234,-0.0312689382657597,-0.200413907107678,0.196751737286682,0.0142239588925338,0.0141894153024389,0.0141768873209337,0.0141927192507576,0.0141552413751037,0.0141903846605853,0.0141772034386935,0.0141510133151993,0.014214219746912,0.0142118737984655
"29","Japan",0.471480587563295,0.149110765702041,0.0373988514735792,0.138074027236098,0.00364450807167106,-0.0540701237849341,0.0801573372082744,0.238523646659051,0.150808713321299,0.025358284610542,0.0182726442142882,0.0178609982801302,0.0178181271970917,0.0178544765034819,0.0178152765969837,0.0178212648600435,0.0178284698403361,0.0179323141434373,0.0178620461146268,0.0178165723997807
"30","Poland",0.243742227348648,0.14190951311429,-0.169013718012444,0.129736522707255,0.085455974564279,0.0333428614695969,-0.119340548775142,-0.0229209434832459,-0.0466254905734833,0.0386688408876267,0.00859907847455536,0.00856027218653111,0.00856859958471693,0.00855700465235308,0.00854758880083585,0.00854147123445467,0.00855444595794377,0.00854089181077797,0.00854252082927704,0.00854185021947899
"31","Thailand",0.33763194496527,0.108773483015989,0.116031888387201,-0.0761243808426942,0.0445521446427767,-0.0271543771083914,-0.0915578488701013,0.0282445086712642,0.120575355247979,-0.324882406986177,0.0756287930103939,0.0747480718064835,0.0747621384316152,0.074696030864684,0.0746631857977322,0.0746524311994897,0.0747183405054688,0.0746529518208167,0.0747714058210158,0.0755559761837396
"32","Macedonia",0.240062455571963,0.0959221892283549,0.0848102129829643,-0.0882809906708246,-0.111838058389286,-0.0216807713724946,0.118040841522416,0.0561205827226002,0.185816684018402,-0.134277143843283,0.0207149917941652,0.0206013088923134,0.0205965945867731,0.020598004824068,0.0206090710634822,0.0205808135624095,0.0206124182206724,0.0205871033839067,0.0206607614126731,0.0206220349133752
"33","Norway",0.190184221658651,0.0535551404080804,0.0429246299236175,0.216890761743959,0.110050216206419,0.0166589530410484,-0.0555554914211622,0.516888289488568,0.270638823408819,0.072497313225857,0.0253480335385034,0.0252489207852183,0.0252458683173313,0.0253803893848188,0.0252764294073104,0.0252412105698978,0.0252495703672508,0.0260355438529156,0.0254583767961468,0.0252560270571256
"34","China",0.795009237598953,0.0470109166035861,-0.0457341533242196,-0.0357584801099508,-0.176843197741826,-0.22541640137822,-0.310728187982916,0.444681164171333,0.437888784748703,-0.0620484989432985,0.0873273046910353,0.0812712502526914,0.0812701116613489,0.081262294893267,0.081550706890265,0.0817385822500991,0.082178384680838,0.0831513590170074,0.0830937171904682,0.0812870193867415
